Employee_ID,Department,Age,Salary,Experience,Performance,Attrition,Risk_Level
E051,Operations,59,98522,11,99,No,Low Risk
E052,IT,42,61285,9,65,Yes,High Risk
E053,Operations,41,89929,11,99,Yes,High Risk
E054,HR,51,43104,3,74,Yes,High Risk
E055,Marketing,38,47361,12,96,Yes,High Risk
E056,IT,45,67353,6,68,No,Low Risk
E057,Marketing,55,31025,18,59,Yes,High Risk
E058,IT,38,45129,4,87,Yes,High Risk
E059,Sales,40,57607,11,53,No,Medium Risk
E060,Marketing,53,62914,2,45,No,Medium Risk
E061,Sales,24,30464,11,89,Yes,High Risk
E062,Operations,38,51178,15,75,No,Low Risk
E063,Marketing,22,44663,3,100,Yes,High Risk
E064,Marketing,24,78393,19,75,Yes,High Risk
E065,Finance,30,35482,10,63,Yes,High Risk
E066,Sales,35,62706,4,62,No,Low Risk
E067,Marketing,31,61029,6,91,Yes,High Risk
E068,Finance,23,53509,11,90,No,Low Risk
E069,Operations,37,64970,6,90,Yes,High Risk
E070,Finance,24,91694,8,52,No,Medium Risk
E071,Sales,41,59831,8,41,Yes,High Risk
E072,Finance,43,66517,3,89,No,Low Risk
E073,Sales,54,82386,18,61,Yes,High Risk
E074,HR,38,53405,19,56,Yes,High Risk
E075,HR,60,86959,12,86,No,Low Risk
E076,Finance,60,97033,4,64,Yes,High Risk
E077,Sales,24,87154,1,73,Yes,High Risk
E078,Sales,49,39171,11,79,No,Low Risk
E079,Operations,29,69363,17,59,No,Medium Risk
E080,Sales,47,68752,18,48,Yes,High Risk
E081,Finance,46,52810,20,76,No,Low Risk
E082,Finance,57,30053,10,58,Yes,High Risk
E083,Finance,59,72237,15,68,No,Low Risk
E084,Operations,35,97000,16,90,Yes,High Risk
E085,Operations,27,67196,17,82,No,Low Risk
E086,HR,37,70687,8,91,Yes,High Risk
E087,IT,23,36057,8,70,Yes,High Risk
E088,Finance,48,55485,13,71,No,Low Risk
E089,IT,31,30726,4,89,No,Low Risk
E090,IT,33,97889,15,43,Yes,High Risk
E091,HR,51,47477,15,82,No,Low Risk
E092,Finance,54,85933,18,68,Yes,High Risk
E093,Operations,52,88991,9,88,Yes,High Risk
E094,Operations,39,98327,16,80,Yes,High Risk
E095,Sales,50,40155,10,55,No,Medium Risk
E096,Sales,42,40561,5,49,Yes,High Risk
E097,Finance,31,58043,3,66,No,Low Risk
E098,Sales,56,91069,14,43,Yes,High Risk
E099,Finance,46,32560,19,64,No,Low Risk
E100,HR,44,69139,13,94,No,Low Risk
E101,Marketing,56,58906,16,54,No,Medium Risk
E102,Finance,53,33804,13,61,No,Low Risk
E103,Operations,32,91261,5,79,Yes,High Risk
E104,Finance,59,33552,3,81,No,Low Risk
E105,IT,51,53819,2,56,No,Medium Risk
E106,Sales,35,89598,11,61,No,Low Risk
E107,Sales,48,63065,3,70,Yes,High Risk
E108,Operations,56,36826,12,54,Yes,High Risk
E109,Operations,24,34067,8,52,Yes,High Risk
E110,Marketing,31,61266,5,70,Yes,High Risk
E111,Marketing,35,90952,9,89,No,Low Risk
E112,IT,60,45012,6,59,Yes,High Risk
E113,Marketing,23,70888,19,83,No,Low Risk
E114,Finance,34,39961,19,84,Yes,High Risk
E115,HR,41,45866,19,90,Yes,High Risk
E116,Sales,56,86148,12,44,No,Medium Risk
E117,HR,48,94251,4,67,No,Low Risk
E118,Operations,51,50052,14,51,No,Medium Risk
E119,Marketing,56,93372,15,67,No,Low Risk
E120,Sales,37,41359,9,96,No,Low Risk
E121,IT,51,79674,11,41,No,Medium Risk
E122,Sales,33,93904,7,62,No,Low Risk
E123,Sales,39,66211,18,40,Yes,High Risk
E124,HR,37,83271,16,75,Yes,High Risk
E125,Operations,52,94332,15,90,Yes,High Risk
E126,HR,40,59045,13,84,Yes,High Risk
E127,Sales,59,78368,16,75,No,Low Risk
E128,Finance,57,73357,12,84,No,Low Risk
E129,Sales,41,62951,8,47,Yes,High Risk
E130,Sales,29,54267,7,53,No,Medium Risk
E131,Sales,59,98765,20,58,Yes,High Risk
E132,IT,40,59816,12,51,No,Medium Risk
E133,HR,56,46591,9,42,Yes,High Risk
E134,Marketing,40,46551,16,46,Yes,High Risk
E135,Marketing,40,91524,16,68,No,Low Risk
E136,IT,25,63092,16,47,Yes,High Risk
E137,Finance,53,39710,19,80,Yes,High Risk
E138,IT,31,69824,3,55,Yes,High Risk
E139,Marketing,48,59581,17,64,No,Low Risk
E140,Finance,41,86207,10,76,Yes,High Risk
E141,Marketing,28,57235,7,56,Yes,High Risk
E142,IT,37,52782,18,44,Yes,High Risk
E143,HR,48,89048,20,70,No,Low Risk
E144,HR,36,67762,10,84,No,Low Risk
E145,HR,36,64675,19,82,Yes,High Risk
E146,Finance,29,59466,5,98,No,Low Risk
E147,IT,26,37816,6,90,No,Low Risk
E148,Marketing,58,67828,15,47,No,Medium Risk
E149,Operations,41,82757,9,72,No,Low Risk
E150,Finance,27,35224,14,87,No,Low Risk
E151,Marketing,38,33390,3,54,Yes,High Risk
E152,Operations,39,35273,6,70,No,Low Risk
E153,Sales,33,87132,16,45,No,Medium Risk
E154,Sales,48,73687,11,82,Yes,High Risk
E155,IT,43,83955,16,58,No,Medium Risk
E156,Marketing,24,89614,3,60,No,Low Risk
E157,Sales,29,82976,17,92,Yes,High Risk
E158,Operations,56,90552,14,43,Yes,High Risk
E159,Marketing,45,95338,15,88,Yes,High Risk
E160,IT,39,47172,10,68,No,Low Risk
E161,HR,23,61365,6,59,Yes,High Risk
E162,Marketing,48,42217,8,93,Yes,High Risk
E163,Finance,29,50181,16,99,No,Low Risk
E164,Marketing,39,84459,16,70,Yes,High Risk
E165,Finance,57,48958,13,52,Yes,High Risk
E166,HR,39,84387,11,99,No,Low Risk
E167,HR,40,69132,19,77,No,Low Risk
E168,IT,50,93483,12,61,No,Low Risk
E169,Finance,42,54727,8,76,No,Low Risk
E170,IT,48,35720,11,87,No,Low Risk
E171,Operations,46,80604,5,71,Yes,High Risk
E172,IT,54,73515,4,95,No,Low Risk
E173,HR,55,89890,1,86,Yes,High Risk
E174,Finance,31,39807,16,90,No,Low Risk
E175,Sales,47,40527,11,94,No,Low Risk
E176,Sales,53,34705,20,44,Yes,High Risk
E177,Operations,40,59817,3,67,Yes,High Risk
E178,Operations,28,88153,6,84,No,Low Risk
E179,HR,24,72516,2,58,No,Medium Risk
E180,Sales,49,49080,8,73,No,Low Risk
E181,Marketing,33,52280,6,45,No,Medium Risk
E182,Marketing,37,95230,19,49,Yes,High Risk
E183,Finance,38,90236,9,82,Yes,High Risk
E184,Finance,40,50706,3,68,No,Low Risk
E185,Marketing,41,85615,9,69,No,Low Risk
E186,IT,46,93335,4,55,No,Medium Risk
E187,Marketing,44,68780,10,41,No,Medium Risk
E188,Sales,22,36428,20,87,No,Low Risk
E189,Sales,36,76179,8,80,Yes,High Risk
E190,Marketing,38,47927,4,97,Yes,High Risk
E191,Sales,50,34373,19,63,Yes,High Risk
E192,HR,40,72823,14,51,Yes,High Risk
E193,IT,56,77953,17,72,No,Low Risk
E194,IT,38,93156,10,87,No,Low Risk
E195,HR,51,39869,5,88,Yes,High Risk
E196,Operations,47,77942,3,90,No,Low Risk
E197,HR,38,46199,15,63,No,Low Risk
E198,Marketing,46,78689,4,83,Yes,High Risk
E199,Finance,23,72992,20,54,Yes,High Risk
E200,Operations,51,69608,14,47,Yes,High Risk
